location	Cobán	#60AA9E
location	San Juan Chamelco	#62AB9C
location	Purulha	#63AC9A
location	Salamá	#64AD98
location	El Jicaro	#65AE96
location	San Agustín Acasaguastlán	#67AE94
location	Sanarate	#68AF92
location	Jalapa	#69B091
location	San Manuel Chaparron	#6AB18F
location	Sanyuyo	#6CB28D
location	Poptun	#6DB38B
location	Guatemala	#6EB389
location	Mixco	#70B487
location	San Pedro Ayampuc	#71B485
location	Atescatempa	#73B584
location	Jutiapa	#74B582
location	Chiquimula	#76B680
location	Quezaltepeque GT	#77B67E
location	Puerto Barrios	#79B77C
location	Mexicali	#7AB77B
location	Tijuana	#7CB879
location	Ahome	#7DB877
location	Culiacán	#7FB975
location	Mazatlan	#80B973
location	Ciudad Juarez	#82BA71
location	Tepic	#84BA70
location	Gomez Palacios	#85BA6E
location	Vallarta	#87BB6D
location	Torreon	#89BB6B
location	Hawaii County	#8ABB6A
location	Honolulu County	#8CBB68
location	Kauai County	#8EBC67
location	Maui County	#90BC65
location	Anchorage and Matanuska-Susitna	#91BC64
location	Interior Alaska	#93BC62
location	Clackamas County	#95BD61
location	Jackson County OR	#96BD5F
location	Lincoln County OR	#98BD5E
location	Marion County OR	#9ABD5C
location	Multnomah County	#9BBE5B
location	Umatilla County	#9DBE5A
location	Benton County WA	#9FBE59
location	Cowlitz County	#A1BE58
location	Grays Harbor County	#A3BE57
location	King County	#A4BE56
location	Snohomish County	#A6BE55
location	Yakima County	#A8BD54
location	Alameda County	#AABD53
location	Los Angeles County	#ABBD51
location	San Diego County	#ADBD50
location	San Francisco County	#AFBD4F
location	Santa Cruz County CA	#B1BD4E
location	Washoe County	#B2BD4D
location	Ada County	#B4BD4C
location	Bonneville County	#B6BD4B
location	Canyon County	#B7BC4B
location	Twin Falls County	#B9BC4A
location	Coconino County	#BBBC49
location	Maricopa County	#BCBB49
location	Yuma County AZ	#BEBB48
location	Big Horn County	#BFBB47
location	Dawson County MT	#C1BA47
location	Gallatin County MT	#C3BA46
location	Lewis and Clark County	#C4B945
location	Southcentral	#C6B944
location	Yellowstone County	#C8B944
location	Douglas County NE	#C9B843
location	Lancaster County NE	#CBB842
location	Bexar County	#CCB742
location	Bowie County	#CDB642
location	Dallas County TX	#CFB541
location	Houston	#D0B441
location	Fillmore County	#D1B340
location	Allamakee County	#D2B240
location	Fayette County IA	#D4B13F
location	Johnson County IA	#D5B03F
location	Bienville Parish	#D6B03E
location	Caddo Parish	#D7AF3E
location	Orleans Parish LA	#D9AE3E
location	Rapides Parish	#DAAD3D
location	Lafayette County MS	#DBAC3D
location	Pearl River County	#DCAB3C
location	Adams County WI	#DDA93C
location	Brown County WI	#DEA83C
location	Dane County WI	#DEA63B
location	Eau Claire County	#DFA53B
location	La Crosse County	#E0A33A
location	Milwaukee County	#E0A13A
location	Outagamie County	#E1A03A
location	Rock County	#E29E39
location	Rusk County WI	#E29D39
location	Cass County IL	#E39B39
location	Cook County IL	#E49938
location	Kane County IL	#E49838
location	Lake County IL	#E59638
location	Perry County IL	#E69537
location	St. Clair County IL	#E69237
location	Vermilion County	#E69036
location	Autauga County	#E68E36
location	Blount County AL	#E68B35
location	Jefferson County AL	#E68935
location	Madison County AL	#E68735
location	Montgomery County TN	#E68434
location	Wilson County TN	#E68234
location	Elkhart County	#E68033
location	Marion County IN	#E67D33
location	St. Joseph County	#E67B32
location	Tippecanoe County	#E67932
location	Columbus OH	#E67631
location	Beaufort County SC	#E67431
location	Richland County SC	#E67130
location	Mecklenburg County NC	#E56E30
location	Pitt County	#E56B2F
location	Allegheny County	#E4682F
location	Kent County DE	#E4652E
location	New Castle County	#E4632E
location	Sussex County DE	#E3602D
location	Hudson County NJ	#E35D2C
location	Passaic County	#E25A2C
location	Nassau County NY	#E2572B
location	New York City	#E1542B
location	Oneida County NY	#E1512A
location	Ontario County	#E04E2A
location	Queens County	#E04B29
location	Rockland County	#E04828
location	Fairfield County CT	#DF4528
location	New Haven County	#DF4227
location	Norfolk County	#DE4027
location	Suffolk County MA	#DE3D26
location	Cidra County	#DE3A26
location	Florida PR	#DD3725
location	San Juan PR	#DD3425
location	St. Croix	#DD3124
location	St. Thomas	#DC2E24
location	Toronto	#DC2B23
location	Montérégie	#DB2823

division	Chiriqui	#5E1D9D
division	Bocas del Toro	#5B1DA0
division	Veraguas	#571EA3
division	Herrera	#541EA6
division	Cocle	#501EA9
division	Los Santos	#4E20AB
division	Colon Province	#4D22AE
division	Panama Oeste	#4C25B0
division	Panama Center	#4A27B2
division	Darien	#4929B4
division	Guna Yala	#482CB7
division	Guanacaste	#462EB9
division	Puntarenas	#4530BB
